Center Lat,Center Long,Overall Probability
32.25,-64.75,0.17
31.25,-79.75,0.06
32.25,-78.75,0.14
33.75,-76.25,0.13
34.25,-75.75,0.02
34.75,-75.25,0.19
37.75,-74.25,0.17
39.75,-72.75,0.04
37.75,-76.75,0.06
38.75,-75.75,0.13
38.25,-76.75,0.01
38.75,-76.25,0.10
38.75,-76.75,0.05
38.25,-77.25,0.08
38.75,-77.25,0.02
39.25,-75.75,0.13
39.75,-75.25,0.14
39.75,-75.75,0.18
39.25,-76.25,0.19
39.25,-76.75,0.04
30.25,-80.25,0.17
42.75,-64.75,0.13
41.75,-69.25,0.18
42.75,-66.25,0.07
42.25,-67.75,0.09
43.25,-65.25,0.05
44.25,-67.25,0.12
44.75,-67.75,0.15
44.75,-68.25,0.12
44.75,-68.75,0.08
44.25,-69.75,0.09
45.75,-64.25,0.01
45.75,-65.25,0.04
45.25,-67.25,0.03
40.75,-71.25,0.08
40.25,-72.25,0.17
40.75,-74.25,0.14
41.25,-73.75,0.01
32.75,-64.75,0.26
37.75,-76.25,0.31
39.75,-76.25,0.23
30.75,-80.25,0.31
32.75,-80.75,0.20
41.75,-66.75,0.38
41.25,-69.75,0.25
41.75,-69.75,0.38
42.25,-69.75,0.39
43.25,-65.75,0.21
43.25,-66.25,0.27
44.25,-65.75,0.33
45.25,-64.25,0.25
45.25,-65.75,0.27
45.25,-66.75,0.21
40.75,-70.75,0.22
41.25,-70.25,0.29
42.75,-70.25,0.21
31.75,-79.75,0.49
32.75,-78.25,0.42
33.75,-76.75,0.54
33.25,-77.25,0.49
33.25,-79.75,0.40
38.75,-73.25,0.42
40.75,-67.75,0.54
40.75,-68.75,0.42
41.25,-68.75,0.42
41.25,-69.25,0.48
42.25,-67.25,0.45
43.75,-65.25,0.44
43.75,-66.25,0.58
44.75,-65.25,0.55
44.75,-67.25,0.56
40.25,-72.75,0.50
40.75,-73.75,0.56
41.25,-70.75,0.58
41.25,-73.25,0.47
42.25,-71.25,0.40
32.25,-79.25,0.61
33.25,-77.75,0.79
34.25,-76.25,0.74
35.25,-74.75,0.62
35.75,-74.75,0.75
38.25,-74.25,0.75
39.25,-73.25,0.67
37.25,-76.25,0.71
37.25,-76.75,0.61
30.25,-80.75,0.65
31.25,-80.25,0.61
43.75,-64.75,0.61
44.25,-64.25,0.63
44.75,-64.25,0.70
40.75,-68.25,0.62
41.25,-67.25,0.75
43.75,-65.75,0.71
44.75,-65.75,0.72
44.75,-66.75,0.69
44.25,-69.25,0.68
45.25,-66.25,0.63
40.75,-70.25,0.69
40.25,-74.25,0.67
43.25,-70.75,0.72
32.75,-78.75,0.84
32.25,-79.75,1.00
32.75,-79.25,1.00
32.75,-79.75,1.00
33.75,-77.25,0.97
33.75,-77.75,1.00
33.25,-78.25,0.96
33.25,-78.75,1.00
33.75,-78.25,1.00
33.75,-78.75,1.00
33.25,-79.25,1.00
33.75,-79.25,1.00
34.75,-75.75,0.84
34.25,-76.75,1.00
34.75,-76.25,1.00
34.75,-76.75,1.00
34.25,-77.25,1.00
34.25,-77.75,1.00
34.75,-77.25,1.00
36.25,-74.75,0.88
36.75,-74.75,1.00
37.25,-74.75,0.92
37.75,-74.75,1.00
38.75,-73.75,1.00
38.25,-74.75,1.00
38.75,-74.25,1.00
38.75,-74.75,1.00
39.25,-73.75,1.00
39.75,-73.25,0.92
39.75,-73.75,1.00
39.25,-74.25,1.00
39.25,-74.75,0.83
39.75,-74.25,1.00
35.25,-75.25,1.00
35.25,-75.75,1.00
35.75,-75.25,1.00
35.75,-75.75,1.00
35.25,-76.25,1.00
35.25,-76.75,1.00
35.75,-76.25,1.00
35.75,-76.75,1.00
36.25,-75.25,1.00
36.25,-75.75,1.00
36.75,-75.25,1.00
36.75,-75.75,1.00
36.25,-76.25,1.00
36.25,-76.75,1.00
36.75,-76.25,1.00
37.25,-75.25,1.00
37.25,-75.75,1.00
37.75,-75.25,1.00
37.75,-75.75,1.00
38.25,-75.25,1.00
38.25,-75.75,1.00
38.75,-75.25,1.00
30.75,-80.75,0.83
31.25,-80.75,1.00
31.75,-80.25,1.00
31.75,-80.75,1.00
32.25,-80.25,1.00
32.25,-80.75,1.00
32.75,-80.25,1.00
44.25,-64.75,0.99
40.75,-69.25,1.00
40.75,-69.75,0.90
41.25,-66.75,1.00
41.75,-66.25,1.00
41.25,-67.75,0.88
41.75,-67.25,0.88
41.75,-67.75,1.00
41.25,-68.25,1.00
41.75,-68.25,0.89
43.75,-68.75,1.00
43.75,-69.25,1.00
43.75,-69.75,1.00
44.25,-66.25,0.83
44.75,-66.25,0.95
44.25,-67.75,1.00
44.25,-68.25,1.00
44.25,-68.75,1.00
40.75,-71.75,1.00
40.75,-72.25,1.00
40.75,-72.75,1.00
40.25,-73.25,1.00
40.25,-73.75,1.00
40.75,-73.25,1.00
41.75,-70.25,1.00
41.75,-70.75,1.00
41.25,-71.25,1.00
41.25,-71.75,1.00
41.75,-71.25,1.00
41.25,-72.25,1.00
41.25,-72.75,1.00
42.25,-70.25,1.00
42.25,-70.75,1.00
42.75,-70.75,1.00
43.25,-70.25,1.00
43.75,-70.25,1.00
